"lf error","lf cputime","lf dtArray"
7.700501513e-07,1.87,5
3.078174815e-06,0.91,10
6.900085421e-06,0.62,15
1.216534704e-05,0.48,20
1.870533076e-05,0.38,25
2.630524439e-05,0.3,30
3.479962911e-05,0.27,35
4.43586828e-05,0.23,40
5.548897314e-05,0.23,45
6.830974824e-05,0.19,50
8.288623726e-05,0.17,55
9.817483259e-05,0.17,60
0.0001142903986,0.15,65
0.0001321617546,0.15,70
0.0001516650882,0.13,75
0.0001718784664,0.11,80
0.0001934222793,0.12,85
0.0002161102353,0.11,90
0.0002408866051,0.11,95
0.0002656572956,0.1,100
0.0002919287237,0.1,105
0.0003200999108,0.1,110
0.0003497374602,0.08,115
0.0003793087334,0.09,120
0.0004115987135,0.09,125
0.0004443902676,0.08,130
0.0004792933888,0.07,135
0.0005160931969,0.09,140
0.00055323455,0.07,145
0.0005930712329,0.08,150
0.0006342157371,0.06,155
0.0006771297549,0.07,160