"0 AU, 0 km/s","100 AU, 0 km/s","200 AU, 0 km/s","300 AU, 0 km/s","400 AU, 0 km/s","500 AU, 0 km/s","600 AU, 0 km/s","700 AU, 0 km/s","800 AU, 0 km/s","900 AU, 0 km/s","1000 AU, 0 km/s"
"0 AU, 0.2 km/s","100 AU, 0.2 km/s","200 AU, 0.2 km/s","300 AU, 0.2 km/s","400 AU, 0.2 km/s","500 AU, 0.2 km/s","600 AU, 0.2 km/s","700 AU, 0.2 km/s","800 AU, 0.2 km/s","900 AU, 0.2 km/s","1000 AU, 0.2 km/s"
"0 AU, 0.4 km/s","100 AU, 0.4 km/s","200 AU, 0.4 km/s","300 AU, 0.4 km/s","400 AU, 0.4 km/s","500 AU, 0.4 km/s","600 AU, 0.4 km/s","700 AU, 0.4 km/s","800 AU, 0.4 km/s","900 AU, 0.4 km/s","1000 AU, 0.4 km/s"
"0 AU, 0.6 km/s","100 AU, 0.6 km/s","200 AU, 0.6 km/s","300 AU, 0.6 km/s","400 AU, 0.6 km/s","500 AU, 0.6 km/s","600 AU, 0.6 km/s","700 AU, 0.6 km/s","800 AU, 0.6 km/s","900 AU, 0.6 km/s","1000 AU, 0.6 km/s"
"0 AU, 0.8 km/s","100 AU, 0.8 km/s","200 AU, 0.8 km/s","300 AU, 0.8 km/s","400 AU, 0.8 km/s","500 AU, 0.8 km/s","600 AU, 0.8 km/s","700 AU, 0.8 km/s","800 AU, 0.8 km/s","900 AU, 0.8 km/s","1000 AU, 0.8 km/s"
"0 AU, 1 km/s","100 AU, 1 km/s","200 AU, 1 km/s","300 AU, 1 km/s","400 AU, 1 km/s","500 AU, 1 km/s","600 AU, 1 km/s","700 AU, 1 km/s","800 AU, 1 km/s","900 AU, 1 km/s","1000 AU, 1 km/s"
"0 AU, 1.2 km/s","100 AU, 1.2 km/s","200 AU, 1.2 km/s","300 AU, 1.2 km/s","400 AU, 1.2 km/s","500 AU, 1.2 km/s","600 AU, 1.2 km/s","700 AU, 1.2 km/s","800 AU, 1.2 km/s","900 AU, 1.2 km/s","1000 AU, 1.2 km/s"
"0 AU, 1.4 km/s","100 AU, 1.4 km/s","200 AU, 1.4 km/s","300 AU, 1.4 km/s","400 AU, 1.4 km/s","500 AU, 1.4 km/s","600 AU, 1.4 km/s","700 AU, 1.4 km/s","800 AU, 1.4 km/s","900 AU, 1.4 km/s","1000 AU, 1.4 km/s"
"0 AU, 1.6 km/s","100 AU, 1.6 km/s","200 AU, 1.6 km/s","300 AU, 1.6 km/s","400 AU, 1.6 km/s","500 AU, 1.6 km/s","600 AU, 1.6 km/s","700 AU, 1.6 km/s","800 AU, 1.6 km/s","900 AU, 1.6 km/s","1000 AU, 1.6 km/s"
"0 AU, 1.8 km/s","100 AU, 1.8 km/s","200 AU, 1.8 km/s","300 AU, 1.8 km/s","400 AU, 1.8 km/s","500 AU, 1.8 km/s","600 AU, 1.8 km/s","700 AU, 1.8 km/s","800 AU, 1.8 km/s","900 AU, 1.8 km/s","1000 AU, 1.8 km/s"
"0 AU, 2 km/s","100 AU, 2 km/s","200 AU, 2 km/s","300 AU, 2 km/s","400 AU, 2 km/s","500 AU, 2 km/s","600 AU, 2 km/s","700 AU, 2 km/s","800 AU, 2 km/s","900 AU, 2 km/s","1000 AU, 2 km/s"
"0 AU, 2.2 km/s","100 AU, 2.2 km/s","200 AU, 2.2 km/s","300 AU, 2.2 km/s","400 AU, 2.2 km/s","500 AU, 2.2 km/s","600 AU, 2.2 km/s","700 AU, 2.2 km/s","800 AU, 2.2 km/s","900 AU, 2.2 km/s","1000 AU, 2.2 km/s"
"0 AU, 2.4 km/s","100 AU, 2.4 km/s","200 AU, 2.4 km/s","300 AU, 2.4 km/s","400 AU, 2.4 km/s","500 AU, 2.4 km/s","600 AU, 2.4 km/s","700 AU, 2.4 km/s","800 AU, 2.4 km/s","900 AU, 2.4 km/s","1000 AU, 2.4 km/s"
"0 AU, 2.6 km/s","100 AU, 2.6 km/s","200 AU, 2.6 km/s","300 AU, 2.6 km/s","400 AU, 2.6 km/s","500 AU, 2.6 km/s","600 AU, 2.6 km/s","700 AU, 2.6 km/s","800 AU, 2.6 km/s","900 AU, 2.6 km/s","1000 AU, 2.6 km/s"
"0 AU, 2.8 km/s","100 AU, 2.8 km/s","200 AU, 2.8 km/s","300 AU, 2.8 km/s","400 AU, 2.8 km/s","500 AU, 2.8 km/s","600 AU, 2.8 km/s","700 AU, 2.8 km/s","800 AU, 2.8 km/s","900 AU, 2.8 km/s","1000 AU, 2.8 km/s"
"0 AU, 3 km/s","100 AU, 3 km/s","200 AU, 3 km/s","300 AU, 3 km/s","400 AU, 3 km/s","500 AU, 3 km/s","600 AU, 3 km/s","700 AU, 3 km/s","800 AU, 3 km/s","900 AU, 3 km/s","1000 AU, 3 km/s"
"0 AU, 3.2 km/s","100 AU, 3.2 km/s","200 AU, 3.2 km/s","300 AU, 3.2 km/s","400 AU, 3.2 km/s","500 AU, 3.2 km/s","600 AU, 3.2 km/s","700 AU, 3.2 km/s","800 AU, 3.2 km/s","900 AU, 3.2 km/s","1000 AU, 3.2 km/s"
"0 AU, 3.4 km/s","100 AU, 3.4 km/s","200 AU, 3.4 km/s","300 AU, 3.4 km/s","400 AU, 3.4 km/s","500 AU, 3.4 km/s","600 AU, 3.4 km/s","700 AU, 3.4 km/s","800 AU, 3.4 km/s","900 AU, 3.4 km/s","1000 AU, 3.4 km/s"
"0 AU, 3.6 km/s","100 AU, 3.6 km/s","200 AU, 3.6 km/s","300 AU, 3.6 km/s","400 AU, 3.6 km/s","500 AU, 3.6 km/s","600 AU, 3.6 km/s","700 AU, 3.6 km/s","800 AU, 3.6 km/s","900 AU, 3.6 km/s","1000 AU, 3.6 km/s"
"0 AU, 3.8 km/s","100 AU, 3.8 km/s","200 AU, 3.8 km/s","300 AU, 3.8 km/s","400 AU, 3.8 km/s","500 AU, 3.8 km/s","600 AU, 3.8 km/s","700 AU, 3.8 km/s","800 AU, 3.8 km/s","900 AU, 3.8 km/s","1000 AU, 3.8 km/s"
"0 AU, 4 km/s","100 AU, 4 km/s","200 AU, 4 km/s","300 AU, 4 km/s","400 AU, 4 km/s","500 AU, 4 km/s","600 AU, 4 km/s","700 AU, 4 km/s","800 AU, 4 km/s","900 AU, 4 km/s","1000 AU, 4 km/s"
"0 AU, 4.2 km/s","100 AU, 4.2 km/s","200 AU, 4.2 km/s","300 AU, 4.2 km/s","400 AU, 4.2 km/s","500 AU, 4.2 km/s","600 AU, 4.2 km/s","700 AU, 4.2 km/s","800 AU, 4.2 km/s","900 AU, 4.2 km/s","1000 AU, 4.2 km/s"
"0 AU, 4.4 km/s","100 AU, 4.4 km/s","200 AU, 4.4 km/s","300 AU, 4.4 km/s","400 AU, 4.4 km/s","500 AU, 4.4 km/s","600 AU, 4.4 km/s","700 AU, 4.4 km/s","800 AU, 4.4 km/s","900 AU, 4.4 km/s","1000 AU, 4.4 km/s"
"0 AU, 4.6 km/s","100 AU, 4.6 km/s","200 AU, 4.6 km/s","300 AU, 4.6 km/s","400 AU, 4.6 km/s","500 AU, 4.6 km/s","600 AU, 4.6 km/s","700 AU, 4.6 km/s","800 AU, 4.6 km/s","900 AU, 4.6 km/s","1000 AU, 4.6 km/s"
"0 AU, 4.8 km/s","100 AU, 4.8 km/s","200 AU, 4.8 km/s","300 AU, 4.8 km/s","400 AU, 4.8 km/s","500 AU, 4.8 km/s","600 AU, 4.8 km/s","700 AU, 4.8 km/s","800 AU, 4.8 km/s","900 AU, 4.8 km/s","1000 AU, 4.8 km/s"
"0 AU, 5 km/s","100 AU, 5 km/s","200 AU, 5 km/s","300 AU, 5 km/s","400 AU, 5 km/s","500 AU, 5 km/s","600 AU, 5 km/s","700 AU, 5 km/s","800 AU, 5 km/s","900 AU, 5 km/s","1000 AU, 5 km/s"